parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.866862,0,0
conv1.conv.weight,0.1,0.8678642,0,0
conv1.conv.weight,0.2,0.8684809,0,0
conv1.conv.weight,0.30000000000000004,0.8358324,0,0
conv1.conv.weight,0.4,0.8369502,0,0
conv1.conv.weight,0.5,0.8224184,0,0
conv1.conv.weight,0.6000000000000001,0.8006399,0,0
conv1.conv.weight,0.7000000000000001,0.6621054,0,0
conv1.conv.weight,0.8,0.16702,0,0
conv1.conv.weight,0.9,0.0001542,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.866862,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.8668234,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.8531396,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.8315538,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.8187565,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.7950121,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.7819836,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.7581236,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.7337239,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.6620283,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.866862,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.0002313,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.0002313,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.0002698,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.0001927,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.0001542,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.0001156,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.0001542,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.0001542,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.0001542,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.866862,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.8561847,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.7958602,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.7943954,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.7858767,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.5415719,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.6040936,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.5904483,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.6825348,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.6784104,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.866862,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.8618124,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.8460856,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.8466638,0,0
conv2_dw.model.1.conv.conv.weight,0.4,0.827121,0,0
conv2_dw.model.1.conv.conv.weight,0.5,0.802837,0,0
conv2_dw.model.1.conv.conv.weight,0.6000000000000001,0.773966,0,0
conv2_dw.model.1.conv.conv.weight,0.7000000000000001,0.7546159,0,0
conv2_dw.model.1.conv.conv.weight,0.8,0.7294068,0,0
conv2_dw.model.1.conv.conv.weight,0.9,0.7094399,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.0,0.866862,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.1,0.8561462,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.2,0.8469337,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.30000000000000004,0.8487068,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.4,0.8352928,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.5,0.8133215,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.6000000000000001,0.7978645,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.7000000000000001,0.7579308,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.8,0.7462129,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.9,0.7129862,0,0
conv2_dw.model.1.project.conv.weight,0.0,0.866862,0,0
conv2_dw.model.1.project.conv.weight,0.1,0.8387619,0,0
conv2_dw.model.1.project.conv.weight,0.2,0.8260032,0,0
conv2_dw.model.1.project.conv.weight,0.30000000000000004,0.791119,0,0
conv2_dw.model.1.project.conv.weight,0.4,0.7861466,0,0
conv2_dw.model.1.project.conv.weight,0.5,0.7818679,0,0
conv2_dw.model.1.project.conv.weight,0.6000000000000001,0.745943,0,0
conv2_dw.model.1.project.conv.weight,0.7000000000000001,0.7235478,0,0
conv2_dw.model.1.project.conv.weight,0.8,0.6198589,0,0
conv2_dw.model.1.project.conv.weight,0.9,0.6050958,0,0
conv_23.conv.conv.weight,0.0,0.866862,0,0
conv_23.conv.conv.weight,0.1,0.6850017,0,0
conv_23.conv.conv.weight,0.2,0.5531357,0,0
conv_23.conv.conv.weight,0.30000000000000004,0.4728058,0,0
conv_23.conv.conv.weight,0.4,0.4045407,0,0
conv_23.conv.conv.weight,0.5,0.2179393,0,0
conv_23.conv.conv.weight,0.6000000000000001,0.0001542,0,0
