parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.8414634,0,0
conv1.weight,0.1,0.8409622,0,0
conv1.weight,0.2,0.8393752,0,0
conv1.weight,0.30000000000000004,0.8355329,0,0
conv1.weight,0.4,0.8230872,0,0
conv1.weight,0.5,0.822419,0,0
conv1.weight,0.6000000000000001,0.8206649,0,0
conv1.weight,0.7000000000000001,0.8259272,0,0
conv1.weight,0.8,0.8007016,0,0
conv1.weight,0.9,0.7340461,0,0
layer1.0.conv1.weight,0.0,0.8414634,0,0
layer1.0.conv1.weight,0.1,0.8374541,0,0
layer1.0.conv1.weight,0.2,0.8311894,0,0
layer1.0.conv1.weight,0.30000000000000004,0.8049616,0,0
layer1.0.conv1.weight,0.4,0.8041263,0,0
layer1.0.conv1.weight,0.5,0.7599399,0,0
layer1.0.conv1.weight,0.6000000000000001,0.6937855,0,0
layer1.0.conv1.weight,0.7000000000000001,0.5693284,0,0
layer1.0.conv1.weight,0.8,0.2780655,0,0
layer1.0.conv1.weight,0.9,8.35e-05,0,0
layer1.0.conv2.weight,0.0,0.8414634,0,0
layer1.0.conv2.weight,0.1,0.8403775,0,0
layer1.0.conv2.weight,0.2,0.8291848,0,0
layer1.0.conv2.weight,0.30000000000000004,0.812145,0,0
layer1.0.conv2.weight,0.4,0.7931841,0,0
layer1.0.conv2.weight,0.5,0.7730538,0,0
layer1.0.conv2.weight,0.6000000000000001,0.7694621,0,0
layer1.0.conv2.weight,0.7000000000000001,0.6909455,0,0
layer1.0.conv2.weight,0.8,0.6469262,0,0
layer1.0.conv2.weight,0.9,0.5480287,0,0
layer1.0.downsample.0.weight,0.0,0.8414634,0,0
layer1.0.downsample.0.weight,0.1,0.8412964,0,0
layer1.0.downsample.0.weight,0.2,0.8414634,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.83002,0,0
layer1.0.downsample.0.weight,0.4,0.8239225,0,0
layer1.0.downsample.0.weight,0.5,0.8110591,0,0
layer1.0.downsample.0.weight,0.6000000000000001,0.7950217,0,0
layer1.0.downsample.0.weight,0.7000000000000001,0.7982793,0,0
layer1.0.downsample.0.weight,0.8,0.75142,0,0
layer1.0.downsample.0.weight,0.9,0.7332108,0,0
layer1.1.conv1.weight,0.0,0.8414634,0,0
layer1.1.conv1.weight,0.1,0.8422987,0,0
layer1.1.conv1.weight,0.2,0.8267624,0,0
layer1.1.conv1.weight,0.30000000000000004,0.8210825,0,0
layer1.1.conv1.weight,0.4,0.8211661,0,0
layer1.1.conv1.weight,0.5,0.8220849,0,0
layer1.1.conv1.weight,0.6000000000000001,0.810558,0,0
layer1.1.conv1.weight,0.7000000000000001,0.8058804,0,0
layer1.1.conv1.weight,0.8,0.7812396,0,0
layer1.1.conv1.weight,0.9,0.6692282,0,0
layer1.1.conv2.weight,0.0,0.8414634,0,0
layer1.1.conv2.weight,0.1,0.8421316,0,0
layer1.1.conv2.weight,0.2,0.8359506,0,0
layer1.1.conv2.weight,0.30000000000000004,0.8336118,0,0
layer1.1.conv2.weight,0.4,0.8309389,0,0
layer1.1.conv2.weight,0.5,0.8277648,0,0
layer1.1.conv2.weight,0.6000000000000001,0.8308553,0,0
layer1.1.conv2.weight,0.7000000000000001,0.7976946,0,0
layer1.1.conv2.weight,0.8,0.7677915,0,0
layer1.1.conv2.weight,0.9,0.7368861,0,0
layer1.2.conv1.weight,0.0,0.8414634,0,0
layer1.2.conv1.weight,0.1,0.8427163,0,0
layer1.2.conv1.weight,0.2,0.8178249,0,0
layer1.2.conv1.weight,0.30000000000000004,0.8168226,0,0
layer1.2.conv1.weight,0.4,0.8180755,0,0
layer1.2.conv1.weight,0.5,0.782409,0,0
layer1.2.conv1.weight,0.6000000000000001,0.7745573,0,0
layer1.2.conv1.weight,0.7000000000000001,0.7549282,0,0
