parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.866862,0,0
conv1.conv.weight,0.1,0.8669005,0,0
conv1.conv.weight,0.2,0.8667463,0,0
conv1.conv.weight,0.30000000000000004,0.8671318,0,0
conv1.conv.weight,0.4,0.8702155,0,0
conv1.conv.weight,0.5,0.8710249,0,0
conv1.conv.weight,0.6000000000000001,0.8598851,0,0
conv1.conv.weight,0.7000000000000001,0.7187295,0,0
conv1.conv.weight,0.8,0.1103188,0,0
conv1.conv.weight,0.9,0.0005396,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.866862,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.8667849,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.8655129,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.8664765,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.863971,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.8608488,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.853949,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.8507497,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.8277763,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.7563505,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.866862,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.8667078,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.8667078,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.8611186,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.8509425,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.8486682,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.0001927,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.0002313,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.0001542,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.0003084,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.866862,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.8669391,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.8669005,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.8679798,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.859384,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.8544887,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.852253,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.8138997,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.815403,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.7898084,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.866862,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.8650888,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.8661296,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.8516363,0,0
conv2_dw.model.1.conv.conv.weight,0.4,0.845122,0,0
conv2_dw.model.1.conv.conv.weight,0.5,0.8101607,0,0
conv2_dw.model.1.conv.conv.weight,0.6000000000000001,0.8145935,0,0
conv2_dw.model.1.conv.conv.weight,0.7000000000000001,0.8187951,0,0
conv2_dw.model.1.conv.conv.weight,0.8,0.7774351,0,0
conv2_dw.model.1.conv.conv.weight,0.9,0.7317966,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.0,0.866862,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.1,0.8626604,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.2,0.857688,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.30000000000000004,0.8535636,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.4,0.8490537,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.5,0.8419612,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.6000000000000001,0.835948,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.7000000000000001,0.7796708,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.8,0.3124542,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.9,0.6679644,0,0
conv2_dw.model.1.project.conv.weight,0.0,0.866862,0,0
conv2_dw.model.1.project.conv.weight,0.1,0.866862,0,0
conv2_dw.model.1.project.conv.weight,0.2,0.8671318,0,0
conv2_dw.model.1.project.conv.weight,0.30000000000000004,0.8667463,0,0
conv2_dw.model.1.project.conv.weight,0.4,0.8623135,0,0
conv2_dw.model.1.project.conv.weight,0.5,0.8524843,0,0
conv2_dw.model.1.project.conv.weight,0.6000000000000001,0.8444667,0,0
conv2_dw.model.1.project.conv.weight,0.7000000000000001,0.8259646,0,0
conv2_dw.model.1.project.conv.weight,0.8,0.7991366,0,0
conv2_dw.model.1.project.conv.weight,0.9,0.7249354,0,0
conv_23.conv.conv.weight,0.0,0.866862,0,0
conv_23.conv.conv.weight,0.1,0.8615812,0,0
conv_23.conv.conv.weight,0.2,0.8401496,0,0
conv_23.conv.conv.weight,0.30000000000000004,0.8100451,0,0
conv_23.conv.conv.weight,0.4,0.6309602,0,0
conv_23.conv.conv.weight,0.5,0.0235131,0,0
conv_23.conv.conv.weight,0.6000000000000001,0.0021971,0,0
conv_23.conv.conv.weight,0.7000000000000001,0.0001542,0,0
conv_23.conv.conv.weight,0.8,0.0001542,0,0
conv_23.conv.conv.weight,0.9,0.0002313,0,0
conv_23.conv_dw.conv.weight,0.0,0.866862,0,0
conv_23.conv_dw.conv.weight,0.1,0.78314,0,0
conv_23.conv_dw.conv.weight,0.2,0.7407393,0,0
conv_23.conv_dw.conv.weight,0.30000000000000004,0.6550515,0,0
conv_23.conv_dw.conv.weight,0.4,0.5712524,0,0
conv_23.conv_dw.conv.weight,0.5,0.1232702,0,0
conv_23.conv_dw.conv.weight,0.6000000000000001,0.0001156,0,0
conv_23.conv_dw.conv.weight,0.7000000000000001,0.0001927,0,0
conv_23.conv_dw.conv.weight,0.8,0.000424,0,0
conv_23.conv_dw.conv.weight,0.9,0.0001927,0,0
conv_23.project.conv.weight,0.0,0.866862,0,0
conv_23.project.conv.weight,0.1,0.8638939,0,0
conv_23.project.conv.weight,0.2,0.8509425,0,0
conv_23.project.conv.weight,0.30000000000000004,0.8135913,0,0
conv_23.project.conv.weight,0.4,0.4440119,0,0
conv_23.project.conv.weight,0.5,0.0001927,0,0
conv_23.project.conv.weight,0.6000000000000001,0.0003084,0,0
conv_23.project.conv.weight,0.7000000000000001,0.0002313,0,0
conv_23.project.conv.weight,0.8,0.0017346,0,0
conv_23.project.conv.weight,0.9,0.0006167,0,0
conv_3.model.0.conv.conv.weight,0.0,0.866862,0,0
conv_3.model.0.conv.conv.weight,0.1,0.8667463,0,0
conv_3.model.0.conv.conv.weight,0.2,0.866014,0,0
conv_3.model.0.conv.conv.weight,0.30000000000000004,0.8690976,0,0
conv_3.model.0.conv.conv.weight,0.4,0.8690976,0,0
conv_3.model.0.conv.conv.weight,0.5,0.861427,0,0
conv_3.model.0.conv.conv.weight,0.6000000000000001,0.8575338,0,0
conv_3.model.0.conv.conv.weight,0.7000000000000001,0.8465097,0,0
conv_3.model.0.conv.conv.weight,0.8,0.8337895,0,0
conv_3.model.0.conv.conv.weight,0.9,0.8194118,0,0
conv_3.model.0.conv_dw.conv.weight,0.0,0.866862,0,0
conv_3.model.0.conv_dw.conv.weight,0.1,0.866438,0,0
conv_3.model.0.conv_dw.conv.weight,0.2,0.8676714,0,0
conv_3.model.0.conv_dw.conv.weight,0.30000000000000004,0.8674402,0,0
conv_3.model.0.conv_dw.conv.weight,0.4,0.8654743,0,0
conv_3.model.0.conv_dw.conv.weight,0.5,0.8623521,0,0
conv_3.model.0.conv_dw.conv.weight,0.6000000000000001,0.8450064,0,0
conv_3.model.0.conv_dw.conv.weight,0.7000000000000001,0.8333655,0,0
conv_3.model.0.conv_dw.conv.weight,0.8,0.1520256,0,0
conv_3.model.0.conv_dw.conv.weight,0.9,0.1484023,0,0
conv_3.model.0.project.conv.weight,0.0,0.866862,0,0
conv_3.model.0.project.conv.weight,0.1,0.8701384,0,0
conv_3.model.0.project.conv.weight,0.2,0.8445438,0,0
conv_3.model.0.project.conv.weight,0.30000000000000004,0.831708,0,0
conv_3.model.0.project.conv.weight,0.4,0.5620399,0,0
conv_3.model.0.project.conv.weight,0.5,0.7450565,0,0
conv_3.model.0.project.conv.weight,0.6000000000000001,0.6996492,0,0
conv_3.model.0.project.conv.weight,0.7000000000000001,0.6202058,0,0
conv_3.model.0.project.conv.weight,0.8,0.6648807,0,0
conv_3.model.0.project.conv.weight,0.9,0.0003084,0,0
conv_3.model.1.conv.conv.weight,0.0,0.866862,0,0
conv_3.model.1.conv.conv.weight,0.1,0.8665151,0,0
conv_3.model.1.conv.conv.weight,0.2,0.8655129,0,0
conv_3.model.1.conv.conv.weight,0.30000000000000004,0.8548356,0,0
conv_3.model.1.conv.conv.weight,0.4,0.8441583,0,0
conv_3.model.1.conv.conv.weight,0.5,0.8401881,0,0
conv_3.model.1.conv.conv.weight,0.6000000000000001,0.8421154,0,0
conv_3.model.1.conv.conv.weight,0.7000000000000001,0.8316309,0,0
conv_3.model.1.conv.conv.weight,0.8,0.818371,0,0
conv_3.model.1.conv.conv.weight,0.9,0.7648691,0,0
conv_3.model.1.conv_dw.conv.weight,0.0,0.866862,0,0
conv_3.model.1.conv_dw.conv.weight,0.1,0.8575724,0,0
conv_3.model.1.conv_dw.conv.weight,0.2,0.8497861,0,0
conv_3.model.1.conv_dw.conv.weight,0.30000000000000004,0.8490537,0,0
conv_3.model.1.conv_dw.conv.weight,0.4,0.8257333,0,0
conv_3.model.1.conv_dw.conv.weight,0.5,0.8235748,0,0
conv_3.model.1.conv_dw.conv.weight,0.6000000000000001,0.8095825,0,0
conv_3.model.1.conv_dw.conv.weight,0.7000000000000001,0.7941641,0,0
conv_3.model.1.conv_dw.conv.weight,0.8,0.7769726,0,0
conv_3.model.1.conv_dw.conv.weight,0.9,0.7218518,0,0
conv_3.model.1.project.conv.weight,0.0,0.866862,0,0
conv_3.model.1.project.conv.weight,0.1,0.8675943,0,0
conv_3.model.1.project.conv.weight,0.2,0.8678256,0,0
conv_3.model.1.project.conv.weight,0.30000000000000004,0.8633928,0,0
conv_3.model.1.project.conv.weight,0.4,0.8564931,0,0
conv_3.model.1.project.conv.weight,0.5,0.8549127,0,0
conv_3.model.1.project.conv.weight,0.6000000000000001,0.8490537,0,0
conv_3.model.1.project.conv.weight,0.7000000000000001,0.8323633,0,0
conv_3.model.1.project.conv.weight,0.8,0.8223027,0,0
conv_3.model.1.project.conv.weight,0.9,0.8096596,0,0
conv_3.model.2.conv.conv.weight,0.0,0.866862,0,0
conv_3.model.2.conv.conv.weight,0.1,0.8658212,0,0
conv_3.model.2.conv.conv.weight,0.2,0.8628146,0,0
conv_3.model.2.conv.conv.weight,0.30000000000000004,0.8639325,0,0
conv_3.model.2.conv.conv.weight,0.4,0.8657056,0,0
conv_3.model.2.conv.conv.weight,0.5,0.8663994,0,0
conv_3.model.2.conv.conv.weight,0.6000000000000001,0.8632001,0,0
conv_3.model.2.conv.conv.weight,0.7000000000000001,0.8618124,0,0
conv_3.model.2.conv.conv.weight,0.8,0.8539105,0,0
conv_3.model.2.conv.conv.weight,0.9,0.7963227,0,0
conv_3.model.2.conv_dw.conv.weight,0.0,0.866862,0,0
conv_3.model.2.conv_dw.conv.weight,0.1,0.8693675,0,0
conv_3.model.2.conv_dw.conv.weight,0.2,0.8601935,0,0
conv_3.model.2.conv_dw.conv.weight,0.30000000000000004,0.8620823,0,0
conv_3.model.2.conv_dw.conv.weight,0.4,0.8490151,0,0
conv_3.model.2.conv_dw.conv.weight,0.5,0.8440427,0,0
conv_3.model.2.conv_dw.conv.weight,0.6000000000000001,0.8398026,0,0
conv_3.model.2.conv_dw.conv.weight,0.7000000000000001,0.8301276,0,0
conv_3.model.2.conv_dw.conv.weight,0.8,0.8185252,0,0
conv_3.model.2.conv_dw.conv.weight,0.9,0.8139768,0,0
conv_3.model.2.project.conv.weight,0.0,0.866862,0,0
conv_3.model.2.project.conv.weight,0.1,0.8683653,0,0
conv_3.model.2.project.conv.weight,0.2,0.8671318,0,0
conv_3.model.2.project.conv.weight,0.30000000000000004,0.8594611,0,0
