parameter,sparsity,top1,top5,loss
conv_23.conv_dw.conv.weight,0.2,0.6756554,0,0
conv_23.conv_dw.conv.weight,0.30000000000000004,0.6464419,0,0
conv_23.conv_dw.conv.weight,0.4,0.5955737,0,0
conv_23.conv_dw.conv.weight,0.5,0.525366,0,0
conv_23.conv_dw.conv.weight,0.6000000000000001,0.3583248,0,0
conv_23.conv_dw.conv.weight,0.7000000000000001,0.0003405,0,0
conv_23.conv_dw.conv.weight,0.8,0.0002043,0,0
conv_23.conv_dw.conv.weight,0.9,0.0004767,0,0
conv_23.project.conv.weight,0.0,0.7229145,0,0
conv_23.project.conv.weight,0.1,0.724617,0,0
conv_23.project.conv.weight,0.2,0.6875724,0,0
conv_23.project.conv.weight,0.30000000000000004,0.0004767,0,0
conv_23.project.conv.weight,0.4,0.2928158,0,0
conv_23.project.conv.weight,0.5,0.0008172,0,0
conv_23.project.conv.weight,0.6000000000000001,6.81e-05,0,0
conv_23.project.conv.weight,0.7000000000000001,0.0004086,0,0
conv_23.project.conv.weight,0.8,0.0011576,0,0
conv_23.project.conv.weight,0.9,6.81e-05,0,0
conv_3.model.0.conv.conv.weight,0.0,0.7229145,0,0
conv_3.model.0.conv.conv.weight,0.1,0.7229826,0,0
conv_3.model.0.conv.conv.weight,0.2,0.7174668,0,0
conv_3.model.0.conv.conv.weight,0.30000000000000004,0.7136534,0,0
conv_3.model.0.conv.conv.weight,0.4,0.7054137,0,0
conv_3.model.0.conv.conv.weight,0.5,0.7156282,0,0
conv_3.model.0.conv.conv.weight,0.6000000000000001,0.7229145,0,0
conv_3.model.0.conv.conv.weight,0.7000000000000001,0.7041879,0,0
conv_3.model.0.conv.conv.weight,0.8,0.6989445,0,0
conv_3.model.0.conv.conv.weight,0.9,0.6539326,0,0
conv_3.model.0.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_3.model.0.conv_dw.conv.weight,0.1,0.7212121,0,0
conv_3.model.0.conv_dw.conv.weight,0.2,0.7270684,0,0
conv_3.model.0.conv_dw.conv.weight,0.30000000000000004,0.7250936,0,0
conv_3.model.0.conv_dw.conv.weight,0.4,0.7241403,0,0
conv_3.model.0.conv_dw.conv.weight,0.5,0.7255022,0,0
conv_3.model.0.conv_dw.conv.weight,0.6000000000000001,0.7201907,0,0
conv_3.model.0.conv_dw.conv.weight,0.7000000000000001,0.7146748,0,0
conv_3.model.0.conv_dw.conv.weight,0.8,0.4074225,0,0
conv_3.model.0.conv_dw.conv.weight,0.9,0.3593463,0,0
conv_3.model.0.project.conv.weight,0.0,0.7229145,0,0
conv_3.model.0.project.conv.weight,0.1,0.7214845,0,0
conv_3.model.0.project.conv.weight,0.2,0.7231869,0,0
conv_3.model.0.project.conv.weight,0.30000000000000004,0.7247531,0,0
conv_3.model.0.project.conv.weight,0.4,0.6388151,0,0
conv_3.model.0.project.conv.weight,0.5,0.62397,0,0
conv_3.model.0.project.conv.weight,0.6000000000000001,0.5161049,0,0
conv_3.model.0.project.conv.weight,0.7000000000000001,0.4744297,0,0
conv_3.model.0.project.conv.weight,0.8,0.5251617,0,0
conv_3.model.0.project.conv.weight,0.9,0.4167518,0,0
conv_3.model.1.conv.conv.weight,0.0,0.7229145,0,0
conv_3.model.1.conv.conv.weight,0.1,0.7263194,0,0
conv_3.model.1.conv.conv.weight,0.2,0.7230507,0,0
conv_3.model.1.conv.conv.weight,0.30000000000000004,0.7231188,0,0
conv_3.model.1.conv.conv.weight,0.4,0.7311542,0,0
conv_3.model.1.conv.conv.weight,0.5,0.7133129,0,0
conv_3.model.1.conv.conv.weight,0.6000000000000001,0.7094314,0,0
conv_3.model.1.conv.conv.weight,0.7000000000000001,0.7075247,0,0
conv_3.model.1.conv.conv.weight,0.8,0.692952,0,0
conv_3.model.1.conv.conv.weight,0.9,0.6403132,0,0
conv_3.model.1.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_3.model.1.conv_dw.conv.weight,0.1,0.7321076,0,0
conv_3.model.1.conv_dw.conv.weight,0.2,0.7447055,0,0
conv_3.model.1.conv_dw.conv.weight,0.30000000000000004,0.7594144,0,0
conv_3.model.1.conv_dw.conv.weight,0.4,0.7560095,0,0
conv_3.model.1.conv_dw.conv.weight,0.5,0.7345591,0,0
conv_3.model.1.conv_dw.conv.weight,0.6000000000000001,0.7332652,0,0
conv_3.model.1.conv_dw.conv.weight,0.7000000000000001,0.7203269,0,0
conv_3.model.1.conv_dw.conv.weight,0.8,0.7118829,0,0
conv_3.model.1.conv_dw.conv.weight,0.9,0.6365679,0,0
conv_3.model.1.project.conv.weight,0.0,0.7229145,0,0
conv_3.model.1.project.conv.weight,0.1,0.723255,0,0
conv_3.model.1.project.conv.weight,0.2,0.7233912,0,0
conv_3.model.1.project.conv.weight,0.30000000000000004,0.7132448,0,0
conv_3.model.1.project.conv.weight,0.4,0.7085461,0,0
conv_3.model.1.project.conv.weight,0.5,0.7152196,0,0
conv_3.model.1.project.conv.weight,0.6000000000000001,0.7297923,0,0
conv_3.model.1.project.conv.weight,0.7000000000000001,0.7175349,0,0
conv_3.model.1.project.conv.weight,0.8,0.7243446,0,0
conv_3.model.1.project.conv.weight,0.9,0.721144,0,0
conv_3.model.2.conv.conv.weight,0.0,0.7229145,0,0
conv_3.model.2.conv.conv.weight,0.1,0.7294518,0,0
conv_3.model.2.conv.conv.weight,0.2,0.7321757,0,0
conv_3.model.2.conv.conv.weight,0.30000000000000004,0.7164454,0,0
conv_3.model.2.conv.conv.weight,0.4,0.7130405,0,0
conv_3.model.2.conv.conv.weight,0.5,0.6839632,0,0
conv_3.model.2.conv.conv.weight,0.6000000000000001,0.6842356,0,0
conv_3.model.2.conv.conv.weight,0.7000000000000001,0.6997617,0,0
conv_3.model.2.conv.conv.weight,0.8,0.6943139,0,0
conv_3.model.2.conv.conv.weight,0.9,0.6520259,0,0
conv_3.model.2.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_3.model.2.conv_dw.conv.weight,0.1,0.7214164,0,0
conv_3.model.2.conv_dw.conv.weight,0.2,0.7722165,0,0
conv_3.model.2.conv_dw.conv.weight,0.30000000000000004,0.766905,0,0
conv_3.model.2.conv_dw.conv.weight,0.4,0.7452503,0,0
conv_3.model.2.conv_dw.conv.weight,0.5,0.741573,0,0
conv_3.model.2.conv_dw.conv.weight,0.6000000000000001,0.7488594,0,0
conv_3.model.2.conv_dw.conv.weight,0.7000000000000001,0.7509704,0,0
conv_3.model.2.conv_dw.conv.weight,0.8,0.7506299,0,0
conv_3.model.2.conv_dw.conv.weight,0.9,0.7436159,0,0
conv_3.model.2.project.conv.weight,0.0,0.7229145,0,0
conv_3.model.2.project.conv.weight,0.1,0.7223017,0,0
conv_3.model.2.project.conv.weight,0.2,0.7200545,0,0
conv_3.model.2.project.conv.weight,0.30000000000000004,0.7090909,0,0
conv_3.model.2.project.conv.weight,0.4,0.7048008,0,0
conv_3.model.2.project.conv.weight,0.5,0.7159006,0,0
conv_3.model.2.project.conv.weight,0.6000000000000001,0.707729,0,0
conv_3.model.2.project.conv.weight,0.7000000000000001,0.7005788,0,0
conv_3.model.2.project.conv.weight,0.8,0.7072523,0,0
conv_3.model.2.project.conv.weight,0.9,0.6506639,0,0
conv_3.model.3.conv.conv.weight,0.0,0.7229145,0,0
conv_3.model.3.conv.conv.weight,0.1,0.711951,0,0
conv_3.model.3.conv.conv.weight,0.2,0.7122234,0,0
conv_3.model.3.conv.conv.weight,0.30000000000000004,0.7103847,0,0
conv_3.model.3.conv.conv.weight,0.4,0.7134491,0,0
conv_3.model.3.conv.conv.weight,0.5,0.7156963,0,0
conv_3.model.3.conv.conv.weight,0.6000000000000001,0.6948587,0,0
conv_3.model.3.conv.conv.weight,0.7000000000000001,0.7057542,0,0
conv_3.model.3.conv.conv.weight,0.8,0.6875043,0,0
conv_3.model.3.conv.conv.weight,0.9,0.6849847,0,0
conv_3.model.3.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_3.model.3.conv_dw.conv.weight,0.1,0.719714,0,0
conv_3.model.3.conv_dw.conv.weight,0.2,0.7436159,0,0
conv_3.model.3.conv_dw.conv.weight,0.30000000000000004,0.723936,0,0
conv_3.model.3.conv_dw.conv.weight,0.4,0.7331971,0,0
conv_3.model.3.conv_dw.conv.weight,0.5,0.7291113,0,0
conv_3.model.3.conv_dw.conv.weight,0.6000000000000001,0.7364658,0,0
